西元年月	股票代碼	公司簡稱	EPS	ROA(C)稅前息前折舊前	ROE(A)─稅後	每股淨值(B)	當季季底P/B	營業收入毛額	合併總損益	稅前息前折舊前淨利	營業毛利率	Tobins Q	稅前淨利率TSE	營收成長率	營業毛利成長率	流動比率	負債比率％	合併(Y/N)
201603	1476   	儒鴻        	           2.47	           5.41	           4.89	          55.49	           7.63	     5590471.00	      653130.00	     1017601.00	          26.71	           5.73	          14.33	          13.44	           9.89	         271.47	          26.26	Y
201603	1477   	聚陽        	           3.22	           6.57	           6.85	          48.29	           4.01	     6309426.00	      642665.00	      886284.00	          23.10	           2.97	          12.42	           9.12	          -2.65	         235.83	          25.87	Y
201603	1503   	士電        	            .72	           1.87	           1.75	          41.57	            .95	     4800272.00	      385420.00	      652689.00	          21.79	            .69	          10.02	           3.42	           1.39	         149.55	          36.83	Y
201603	1504   	東元        	            .34	           1.65	           1.48	          25.00	           1.06	    11678422.00	      790775.00	     1538884.00	          27.15	            .76	           9.09	           -.32	           3.93	         190.06	          38.92	Y
201603	1506   	正道        	            .05	           1.68	            .55	          10.49	           1.58	      413601.00	        7508.00	       44203.00	          19.48	           1.03	           2.57	           9.46	          25.24	         314.23	          50.49	Y
201603	1507   	永大        	           1.17	           2.44	           3.95	          30.28	           1.53	     5076497.00	      488863.00	      726593.00	          27.57	            .66	          12.38	         -12.57	         -10.63	         131.90	          56.37	Y
201603	1512   	瑞利        	           -.13	           2.07	          -1.28	           7.89	            .67	     1051758.00	      -19539.00	      100706.00	          13.69	            .61	            .36	           9.57	          13.83	         117.65	          68.62	Y
201603	1513   	中興電      	            .36	           2.14	           1.91	          18.23	           1.01	     3034133.00	      147080.00	      320743.00	          16.14	            .69	           6.01	          64.30	          29.43	         172.76	          47.11	Y
201603	1514   	亞力        	            .41	           2.13	           3.07	          13.84	            .68	     1134443.00	       85038.00	      104029.00	          16.99	            .52	           8.17	          43.07	          94.08	         177.72	          42.81	Y
201603	1515   	力山        	            .01	           1.24	            .15	          13.18	            .83	      762051.00	        3762.00	       44898.00	          24.04	            .72	            .54	          -1.05	          17.39	         113.57	          55.01	Y
201603	1516   	川飛        	            .71	           4.38	           5.04	          14.51	           1.79	      165360.00	       16629.00	       16823.00	           3.37	           1.68	          10.13	         212.47	         -19.88	        1363.18	           5.96	N
201603	1517   	利奇        	            .03	           1.12	            .12	          15.61	            .72	      700852.00	        4269.00	       50609.00	          12.75	            .51	           1.31	         -20.76	         -30.21	         422.66	          27.60	Y
201603	1519   	華城        	           -.13	            .00	          -1.11	          12.02	           1.34	     1035936.00	      -35073.00	       -8344.00	          18.17	            .75	          -3.60	            .92	          18.49	         158.83	          59.84	Y
201603	1521   	大億        	           2.05	           5.84	           8.39	          25.43	           3.21	     1432515.00	      156243.00	      209460.00	          18.85	           1.78	          12.02	         -11.05	         -11.98	         157.76	          44.91	Y
201603	1522   	堤維西      	            .74	           3.73	           3.96	          19.64	           1.30	     4206537.00	      262238.00	      686682.00	          23.15	            .82	           8.40	           8.97	          15.32	         111.19	          65.57	Y
201603	1524   	耿鼎        	            .28	           3.80	           2.60	          10.73	            .69	      615553.00	       49578.00	      175549.00	          24.68	            .73	           9.74	           3.86	          47.18	         106.91	          58.17	Y
201603	1525   	江申        	           1.90	           3.33	           3.81	          50.57	           2.06	      261807.00	      131280.00	      141162.00	          10.34	           1.72	          50.42	          -8.65	          -8.07	         146.74	          18.21	Y
201603	1526   	日馳        	            .22	           2.85	           1.82	          12.27	           1.08	      196999.00	       11075.00	       17647.00	          27.70	            .83	           5.45	          -2.28	          16.51	         196.72	          52.91	Y
201603	1527   	鑽全        	           1.24	           1.21	           4.79	          26.11	           2.63	      974700.00	      170961.00	      257020.00	          32.58	           1.34	          21.23	          15.25	          26.99	         126.79	          75.68	N
201603	1528   	恩德        	            .15	           1.16	           1.10	          12.96	            .82	      787190.00	       25299.00	       55908.00	          33.84	            .72	           3.03	            .58	          11.08	         171.17	          52.54	Y
201603	1529   	樂士        	            .06	           2.88	           5.90	           1.01	           2.48	       94968.00	       17599.00	       19071.00	          22.87	           1.58	          18.53	         251.51	         408.24	          98.83	          43.78	Y
201603	1530   	亞崴        	            .25	           1.01	            .82	          28.69	           1.05	      749560.00	       23048.00	       66595.00	          20.85	            .80	           3.94	         -18.40	         -19.38	         140.69	          57.20	Y
201603	1531   	高林股      	            .04	            .93	            .18	          22.02	            .82	      657959.00	        7501.00	       50228.00	          19.05	            .71	           1.88	           1.66	          -3.43	         350.90	          23.37	Y
201603	1532   	勤美        	            .48	           1.96	           1.77	          32.25	            .92	     3500593.00	      342642.00	      668828.00	          26.79	            .62	          11.89	         -22.56	          -6.83	         209.73	          45.94	Y
201603	1533   	車王電      	            .29	           1.40	           1.21	          23.64	           2.39	      581759.00	       27306.00	       65747.00	          35.24	           1.56	           6.17	           1.33	          -2.77	         182.20	          49.07	Y
201603	1535   	中宇        	            .58	           1.97	           2.04	          28.58	           2.03	     2409630.00	       71659.00	      134104.00	           9.45	           1.21	           5.26	          -5.98	         -10.79	         189.65	          45.96	Y
201603	1536   	和大        	           1.10	           4.41	           6.46	          17.46	           8.02	     1428267.00	      258972.00	      410784.00	          38.50	           3.77	          22.47	          18.54	          31.95	         167.11	          57.52	Y
201603	1537   	廣隆        	           2.29	           6.55	           5.49	          42.64	           3.33	     1601714.00	      192160.00	      301988.00	          23.74	           2.54	          16.02	          -6.71	          17.84	         439.02	          22.48	Y
201603	1538   	正峰新      	            .00	            .85	            .01	           8.93	            .62	      163311.00	          58.00	       14168.00	          21.47	            .69	            .04	         -12.69	          35.35	          77.07	          55.06	Y
201603	1539   	巨庭        	            .89	           3.29	           5.68	          16.05	           1.94	      728957.00	       57905.00	       91037.00	          17.42	           1.12	           9.74	           7.57	          26.70	         147.88	          58.88	Y
201603	1540   	喬福        	            .16	           1.19	            .93	          17.35	           1.06	      143006.00	       12773.00	       19176.00	          24.23	            .91	          10.79	         -48.41	         -59.70	         554.95	          14.56	Y
201603	1541   	錩泰        	           1.13	           5.39	           7.23	          16.22	           3.42	      871841.00	       89346.00	      123692.00	          24.93	           2.04	          12.65	          29.19	          71.55	         157.81	          44.96	Y
201603	1558   	伸興        	           1.46	           3.13	           2.06	          72.93	           2.04	     1226018.00	       91106.00	      185322.00	          26.77	           1.54	          10.09	          -4.54	           9.85	         308.99	          26.76	Y
201603	1560   	中砂        	            .69	           3.95	           2.52	          27.64	           1.92	      938657.00	       97032.00	      201460.00	          27.21	           1.52	          12.51	          -8.12	         -20.09	         184.03	          23.26	N
201603	1565   	精華        	           8.11	           8.55	           8.52	          99.19	           6.62	     1512982.00	      408671.00	      570385.00	          41.89	           4.98	          32.54	          12.40	          20.47	         352.99	          26.24	Y
201603	1566   	捷邦        	           -.04	           1.92	            .04	          19.24	           1.26	     1207842.00	         663.00	       91074.00	          15.59	            .67	            .25	         155.59	         340.67	         103.82	          66.82	Y
201603	1568   	倉佑        	            .39	           3.67	           2.87	          14.97	           1.74	      632526.00	       47471.00	      110490.00	          17.89	           1.13	           9.75	          17.87	          31.49	         239.15	          45.30	Y
201603	1569   	濱川        	           -.21	           1.54	          -1.02	          20.44	            .47	      495092.00	      -19897.00	       70232.00	          11.22	            .63	          -4.69	         -10.28	         202.31	          90.24	          54.89	Y
201603	1570   	力肯        	            .28	           3.71	           2.35	          12.11	           1.35	      182301.00	       14513.00	       30878.00	          23.27	            .96	          12.86	           4.20	          -1.27	         248.44	          29.07	Y
201603	1580   	新麥        	           1.13	           4.02	           3.12	          37.98	           3.07	      842560.00	       58728.00	      115061.00	          40.65	           2.08	          11.64	            .09	          -1.86	         269.63	          32.02	Y
201603	1582   	信錦        	           1.02	           2.75	           2.71	          37.86	           1.42	     2047307.00	      152747.00	      256195.00	          24.64	            .96	          10.88	          -5.26	           3.28	         320.42	          38.82	Y
201603	1583   	程泰        	            .55	           1.14	           1.31	          37.72	           1.78	     1362878.00	       69926.00	      146267.00	          26.84	            .94	           6.05	         -25.21	         -25.55	         146.79	          57.31	Y
201603	1584   	精剛        	           -.08	            .34	           -.63	          12.50	           1.08	      166936.00	       -8033.00	        7961.00	           9.10	           1.00	          -6.23	         -40.43	         -38.61	         426.77	          47.77	N
201603	1586   	和勤        	            .00	           1.65	           -.01	          22.57	           1.40	      447747.00	         -91.00	       43226.00	          13.64	            .98	           -.14	           4.98	         -11.27	         112.21	          59.30	Y
201603	1589   	永冠-KY     	           2.51	           3.47	           2.76	          90.52	           2.52	     1912870.00	      298737.00	      541717.00	          34.19	           1.93	          21.13	           2.68	          12.40	         389.13	          29.52	Y
201603	1590   	亞德客-KY   	           2.45	           3.78	           4.15	          59.49	           3.19	     2270012.00	      440194.00	      818865.00	          50.04	           1.99	          26.94	          21.57	          13.43	         108.11	          50.83	Y
201603	1591   	駿吉-KY     	            .25	           3.05	           2.11	          12.48	           1.54	      116320.00	        7459.00	       20729.00	          30.10	           1.21	           9.47	         -45.90	         -14.42	         116.20	          43.73	Y
201603	1592   	英瑞-KY     	           1.23	           3.97	           3.96	          31.36	            .97	     1524337.00	      121597.00	      281308.00	          33.78	            .77	          10.23	          15.80	          21.60	         112.63	          56.14	Y
201603	1593   	祺驊        	            .53	           2.34	           1.99	          26.58	           1.55	      179979.00	       16135.00	       24189.00	          27.00	           1.29	          10.28	         -10.43	         -13.10	         528.34	          20.25	Y
201603	1595   	川寶        	            .36	           1.21	            .74	          49.04	           1.13	      203701.00	       14092.00	       30401.00	          38.98	            .98	           9.31	         -41.81	         -42.72	         498.42	          24.99	Y
201603	1597   	直得        	            .35	           2.56	           1.49	          23.78	           1.36	      217407.00	       19848.00	       58172.00	          34.00	           1.15	          10.90	         -10.11	          18.38	         270.91	          41.42	Y
